Initiative ,total,Granted,In-Progress,Remaining
LNG,"$14,000,000","$12,416,000","$1,059,000","$525,000"
China_Transport,"$5,000,000","$4,000,000",$0,"$1,000,000"
Buildings,"$25,000,000","$808,986",$0,"$24,191,014"
Aluminum,"$5,900,000",$0,"$500,000","$5,400,000"
Electricity,"$29,431,182","$24,500,000","$1,500,000","$3,431,182"
No_New_Coal,"$8,600,000","$5,923,000",$0,"$2,677,000"
Germany_Climate,"$8,440,000","$7,440,000",$0,"$1,000,000"
Landfill_Methane,"$3,275,000","$1,835,000",$0,"$1,440,000"
China_Electricity,"$5,000,000","$2,900,000","$300,000","$1,800,000"
Transforming_Steel,"$17,000,000","$14,872,550",$0,"$2,127,450"
China1N,"$13,500,000","$12,500,000",$0,"$1,000,000"
Vehicles,"$12,000,000",$0,$0,"$12,000,000"
EUVehicles,"$11,150,000","$11,150,000",$0,$0
EUGD,"$19,140,000","$18,653,625",$0,"$486,375"
Buildings,"$8,670,000",$0,"$8,670,000",$0
China_Urban_Planning,"$5,000,000","$5,000,000",$0,$0
Fluorescents,"$3,000,000","$3,000,000",$0,$0
India_Trucks ,"$4,200,000","$3,765,000",$0,"$435,000"